"","Species","Region","Time","Value","Metric","Latitude_degreesN","along_shelf_distance_km","Recruitment","recreational_CPUE_number_of_fish_caught_per_day_fished_all_species"
"1","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1982,360459,"Abundance",40.22615099,792.6093421,495.179992675781,7.27647105785162
"2","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1983,393831,"Abundance",40.35608863,808.0424258,2030.19995117188,5.78752805584714
"3","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1984,583088,"Abundance",40.22562795,781.9913976,89.2399978637695,5.20611040014539
"4","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1985,525549,"Abundance",40.36599576,817.1288996,137.460006713867,6.76055976410869
"5","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1986,411664,"Abundance",40.33593084,812.2781223,85.7200012207031,8.41133752735727
"6","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1987,338213,"Abundance",40.37428663,817.1158713,114.569999694824,6.16777649341004
"7","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1988,326577,"Abundance",40.45073261,817.6219601,369.209991455078,4.95745297309715
"8","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1989,258213,"Abundance",40.29854875,796.5941413,517.580017089844,4.13767980795599
"9","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1990,245469,"Abundance",40.30155783,798.7623034,102.809997558594,3.18951244311742
"10","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1991,177878,"Abundance",40.41864141,820.0910545,171.630004882812,3.43615713682841
"11","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1992,158500,"Abundance",40.47955686,828.446039,180.570007324219,2.91931103692896
"12","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1993,122523,"Abundance",40.36139547,817.3058002,35.2099990844727,2.44110948570262
"13","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1994,113974,"Abundance",40.51182101,843.6565816,152.070007324219,2.53823378500309
"14","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1995,104193,"Abundance",40.67657842,858.3141769,179.059997558594,2.09285325320061
"15","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1996,100988,"Abundance",40.40761369,828.8794512,165.479995727539,1.7818406637159
"16","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1997,97210,"Abundance",40.46034533,826.4137543,205.279998779297,2.01429356438314
"17","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1998,82218,"Abundance",40.58397623,838.0346349,94.2300033569336,1.79260316828951
"18","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1999,181497,"Abundance",40.48861163,831.5220071,163.229995727539,1.9499994572924
"19","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2000,268593,"Abundance",40.67540363,859.7844628,1222.76000976562,2.38501518124824
"20","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2001,255991,"Abundance",40.53551709,842.540767,196.639999389648,2.11913563781022
"21","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2002,226488,"Abundance",40.71166794,860.6596093,152.429992675781,2.20100690144608
"22","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2003,172130,"Abundance",40.59326909,851.666238,349.940002441406,2.43994708716007
"23","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2004,149476,"Abundance",40.43264261,823.4554738,743.559997558594,2.23179050013897
"24","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2005,129322,"Abundance",40.46426535,839.2541229,196.990005493164,2.00177382992635
"25","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2006,103390,"Abundance",40.65232782,855.8629659,380.029998779297,2.06771668484637
"26","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2007,66969,"Abundance",40.522895,844.7495694,99.129997253418,2.1508140608002
