"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","missing","n_data_points","pval","slope","sig"
"1","Atlantic halibut","Northwestern Atlantic Coast",2002,35.5,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2002,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
"2","Atlantic halibut","Northwestern Atlantic Coast",2003,43,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2003,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
"3","Atlantic halibut","Northwestern Atlantic Coast",2004,43,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2004,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
"4","Atlantic halibut","Northwestern Atlantic Coast",2005,44.7000007629395,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2005,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
"5","Atlantic halibut","Northwestern Atlantic Coast",2006,40.5999984741211,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2006,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
"6","Atlantic halibut","Northwestern Atlantic Coast",2007,71.3000030517578,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2007,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
"7","Atlantic halibut","Northwestern Atlantic Coast",2008,68.5,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2008,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
"8","Atlantic halibut","Northwestern Atlantic Coast",2009,76.5,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2009,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
"9","Atlantic halibut","Northwestern Atlantic Coast",2010,60.7000007629395,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2010,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
"10","Atlantic halibut","Northwestern Atlantic Coast",2011,81.6999969482422,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2011,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
"11","Atlantic halibut","Northwestern Atlantic Coast",2012,107.599998474121,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2012,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
"12","Atlantic halibut","Northwestern Atlantic Coast",2013,115.5,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2013,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
"13","Atlantic halibut","Northwestern Atlantic Coast",2014,103.900001525879,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2014,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
"14","Atlantic halibut","Northwestern Atlantic Coast",2015,115.400001525879,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2015,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
"15","Atlantic halibut","Northwestern Atlantic Coast",2016,132.399993896484,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2016,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
"16","Atlantic halibut","Northwestern Atlantic Coast",2017,124,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2017,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
"17","Atlantic halibut","Northwestern Atlantic Coast",2018,156.399993896484,"Catch","Total Catch - International","Metric Tons",2019,2019,"Catch
Total Catch - International
Metric Tons","Time",2018,FALSE,17,1.06039005515304e-09,7.09142136106282,TRUE
